Name Math Java DS Average Total
张三733 9 64 23 0 0
张三920 15 60 15 0 0
张三866 88 100 48 0 0
张三381 32 2 90 0 0
张三799 57 7 21 0 0
张三155 47 42 74 0 0
张三144 80 10 60 0 0
张三106 24 47 76 0 0
张三426 35 88 18 0 0
张三89 49 26 36 0 0
张三844 68 56 19 0 0
张三349 36 73 27 0 0
张三936 66 25 88 0 0
张三123 17 15 73 0 0
张三823 7 11 52 0 0
张三254 36 23 17 0 0
张三944 31 94 66 0 0
张三834 31 19 44 0 0
张三433 8 56 40 0 0
张三167 6 84 29 0 0
张三551 27 27 98 0 0
张三590 87 62 51 0 0
张三842 21 45 85 0 0
张三935 30 7 28 0 0
张三909 95 70 15 0 0
张三666 38 29 31 0 0
张三980 29 50 19 0 0
张三971 86 12 99 0 0
张三673 79 15 14 0 0
张三365 67 37 56 0 0
张三615 85 20 45 0 0
张三558 13 21 10 0 0
张三829 66 2 46 0 0
张三649 52 50 76 0 0
张三56 65 6 13 0 0
张三919 94 75 52 0 0
张三401 56 90 8 0 0
张三762 75 2 58 0 0
张三991 62 14 23 0 0
张三535 95 83 92 0 0
张三534 1 88 68 0 0
张三367 17 89 76 0 0
张三947 94 16 81 0 0
张三215 32 48 3 0 0
张三464 85 74 61 0 0
张三684 99 45 94 0 0
张三881 59 94 67 0 0
张三428 0 33 22 0 0
张三855 70 61 42 0 0
张三130 9 2 97 0 0
张三402 93 37 62 0 0
张三381 15 4 70 0 0
张三26 83 54 3 0 0
张三965 79 32 27 0 0
张三119 90 72 85 0 0
张三354 22 98 97 0 0
张三553 74 55 36 0 0
张三440 40 59 51 0 0
张三621 12 53 86 0 0
张三788 25 86 6 0 0
张三743 100 56 77 0 0
张三951 28 77 43 0 0
张三583 68 78 56 0 0
张三628 81 57 96 0 0
张三501 97 84 88 0 0
张三698 80 18 99 0 0
张三501 81 66 94 0 0
张三422 99 90 66 0 0
张三64 72 33 20 0 0
张三343 63 39 58 0 0
张三561 20 63 78 0 0
张三667 24 53 60 0 0
张三118 77 46 12 0 0
张三174 8 47 71 0 0
张三128 33 7 2 0 0
张三917 25 89 75 0 0
张三793 11 89 79 0 0
张三278 71 51 59 0 0
张三373 29 24 27 0 0
张三137 47 24 85 0 0
张三43 2 61 22 0 0
张三210 91 52 27 0 0
张三522 67 78 78 0 0
张三822 87 71 50 0 0
张三890 14 19 42 0 0
张三671 94 59 70 0 0
张三237 98 55 61 0 0
张三354 29 50 39 0 0
张三69 35 22 74 0 0
张三688 76 40 29 0 0
张三628 13 8 41 0 0
张三129 5 3 25 0 0
张三529 93 88 5 0 0
张三799 43 1 41 0 0
张三386 40 22 24 0 0
张三930 9 35 10 0 0
张三327 53 83 44 0 0
张三741 23 3 41 0 0
张三559 48 50 0 0 0
张三49 35 31 12 0 0
张三401 36 13 53 0 0
张三139 38 2 58 0 0
张三438 99 66 100 0 0
张三677 79 16 80 0 0
张三711 27 59 29 0 0
张三710 51 31 59 0 0
张三92 13 89 3 0 0
张三33 58 87 82 0 0
张三273 97 96 71 0 0
张三454 67 100 89 0 0
张三14 82 24 70 0 0
张三755 97 84 12 0 0
张三561 17 68 67 0 0
张三364 13 44 61 0 0
张三409 79 80 17 0 0
张三47 22 34 73 0 0
张三793 96 54 84 0 0
张三131 73 87 42 0 0
张三603 34 89 15 0 0
张三69 36 40 78 0 0
张三595 93 77 82 0 0
张三356 99 51 84 0 0
张三89 9 15 36 0 0
张三98 95 36 26 0 0
张三544 63 3 15 0 0
张三767 72 87 56 0 0
张三687 22 74 24 0 0
张三922 55 82 1 0 0
张三88 81 94 67 0 0
张三936 56 43 24 0 0
张三354 78 11 8 0 0
张三8 45 43 40 0 0
张三349 91 43 73 0 0
张三5 85 56 19 0 0
张三102 53 23 41 0 0
张三910 87 96 26 0 0
张三302 37 67 75 0 0
张三914 45 94 67 0 0
张三561 87 20 89 0 0
张三438 50 14 54 0 0
张三832 21 81 62 0 0
张三626 1 100 1 0 0
张三660 16 33 32 0 0
张三77 60 95 15 0 0
张三170 43 23 44 0 0
张三871 9 0 36 0 0
张三944 27 69 26 0 0
张三162 27 54 58 0 0
张三215 58 76 16 0 0
张三878 71 21 23 0 0
张三16 47 2 75 0 0
张三309 43 68 68 0 0
张三222 29 21 48 0 0
张三622 81 45 71 0 0
张三610 52 24 60 0 0
张三592 88 82 23 0 0
张三381 95 5 66 0 0
张三70 11 98 43 0 0
张三788 17 13 81 0 0
张三987 11 62 69 0 0
张三769 20 34 67 0 0
张三928 98 73 26 0 0
张三777 81 80 55 0 0
张三553 21 22 64 0 0
张三180 80 67 18 0 0
张三404 48 76 72 0 0
张三921 52 24 31 0 0
张三885 44 85 54 0 0
张三335 9 59 89 0 0
张三456 61 11 3 0 0
张三274 29 69 55 0 0
张三306 100 23 13 0 0
张三976 99 90 71 0 0
张三64 76 94 11 0 0
张三311 70 2 51 0 0
张三321 40 33 9 0 0
张三331 53 45 31 0 0
张三992 9 100 99 0 0
张三278 61 3 61 0 0
张三823 9 93 39 0 0
张三462 85 84 48 0 0
张三556 48 32 21 0 0
张三666 49 73 95 0 0
张三552 64 46 91 0 0
张三993 93 55 89 0 0
张三903 14 49 80 0 0
张三312 67 40 38 0 0
张三311 9 73 72 0 0
张三713 52 7 61 0 0
张三286 89 83 3 0 0
张三633 18 92 70 0 0
张三429 11 88 68 0 0
张三561 3 44 9 0 0
张三849 10 31 88 0 0
张三485 67 63 44 0 0
张三989 10 24 64 0 0
张三489 54 66 93 0 0
张三408 29 48 20 0 0
张三157 73 51 74 0 0
张三294 9 47 97 0 0
张三705 66 69 93 0 0
张三746 41 88 65 0 0
张三986 40 1 84 0 0
张三108 80 48 73 0 0
张三792 72 26 12 0 0
张三902 71 65 32 0 0
张三106 13 3 65 0 0
张三128 28 70 13 0 0
张三211 63 19 9 0 0
张三975 38 63 6 0 0
张三826 77 68 93 0 0
张三230 79 21 69 0 0
张三674 19 63 8 0 0
张三917 73 52 63 0 0
张三135 11 11 54 0 0
张三952 28 11 55 0 0
张三909 0 74 55 0 0
张三847 17 66 36 0 0
张三836 54 19 35 0 0
张三748 10 72 67 0 0
张三290 82 31 49 0 0
张三353 67 81 86 0 0
张三808 5 22 18 0 0
张三477 30 13 6 0 0
张三856 55 85 19 0 0
张三312 7 55 7 0 0
张三903 47 47 38 0 0
张三664 10 60 89 0 0
张三204 71 55 73 0 0
张三702 91 75 41 0 0
张三962 9 76 49 0 0
张三2 7 13 68 0 0
张三764 46 81 90 0 0
张三925 99 51 31 0 0
张三469 46 90 48 0 0
张三613 45 4 37 0 0
张三946 12 55 95 0 0
张三132 54 32 75 0 0
张三327 58 21 15 0 0
张三563 4 70 51 0 0
张三680 34 6 69 0 0
张三53 16 67 27 0 0
张三271 20 74 5 0 0
张三133 46 17 15 0 0
张三817 57 85 44 0 0
张三827 24 75 100 0 0
张三397 71 73 57 0 0
张三336 82 15 3 0 0
张三922 40 72 28 0 0
张三340 24 74 1 0 0
张三335 90 72 54 0 0
张三197 70 72 49 0 0
张三942 9 6 24 0 0
张三569 41 17 88 0 0
张三541 43 88 3 0 0
张三281 82 38 49 0 0
张三253 94 38 78 0 0
张三419 46 83 46 0 0
张三221 27 97 68 0 0
张三979 73 97 51 0 0
张三582 91 84 4 0 0
张三580 52 69 85 0 0
张三380 63 60 12 0 0
张三45 29 85 59 0 0
张三317 6 24 67 0 0
张三873 17 54 68 0 0
张三512 96 9 6 0 0
张三887 23 91 3 0 0
张三683 27 99 21 0 0
张三608 76 53 46 0 0
张三399 50 55 41 0 0
张三113 42 91 50 0 0
张三314 67 39 7 0 0
张三445 64 37 38 0 0
张三561 89 64 98 0 0
张三831 27 62 63 0 0
张三686 51 1 22 0 0
张三259 90 58 3 0 0
张三816 21 54 36 0 0
张三201 82 31 4 0 0
张三939 64 39 23 0 0
张三505 93 27 71 0 0
张三482 20 63 37 0 0
张三748 93 99 96 0 0
张三579 42 76 24 0 0
张三591 42 6 54 0 0
张三702 85 31 53 0 0
张三913 19 3 10 0 0
张三554 31 10 21 0 0
张三757 28 50 24 0 0
张三396 18 55 23 0 0
张三380 1 58 33 0 0
张三208 84 34 0 0 0
张三947 93 57 73 0 0
张三348 50 58 96 0 0
张三635 27 29 41 0 0
张三623 23 74 91 0 0
张三203 54 75 26 0 0
张三919 62 38 8 0 0
张三297 22 84 60 0 0
张三827 48 41 89 0 0
张三42 70 22 53 0 0
张三885 74 23 84 0 0
张三687 1 83 41 0 0
张三392 8 19 29 0 0
张三355 93 48 26 0 0
张三911 27 6 80 0 0
张三168 40 46 14 0 0
张三906 8 52 31 0 0
张三299 63 20 73 0 0
张三149 24 91 49 0 0
张三721 5 49 54 0 0
张三822 95 64 88 0 0
张三696 1 53 76 0 0
张三465 70 9 65 0 0
张三290 12 9 29 0 0
张三189 67 88 32 0 0
张三439 33 49 77 0 0
张三800 70 68 48 0 0
张三371 36 96 64 0 0
张三764 72 29 46 0 0
张三395 4 97 21 0 0
张三152 26 42 61 0 0
张三361 50 24 82 0 0
张三996 20 26 47 0 0
张三318 49 76 0 0 0
张三693 97 12 6 0 0
张三155 21 85 65 0 0
张三395 89 54 12 0 0
张三263 34 18 42 0 0
张三514 43 56 90 0 0
张三503 26 44 85 0 0
张三779 42 24 91 0 0
张三8 55 71 0 0 0
张三493 50 58 87 0 0
张三618 34 95 61 0 0
张三897 46 24 44 0 0
张三971 13 25 92 0 0
张三805 30 100 76 0 0
张三537 2 65 87 0 0
张三931 93 59 77 0 0
张三141 50 46 25 0 0
张三545 98 59 79 0 0
张三739 40 80 82 0 0
张三385 20 28 99 0 0
张三507 52 56 83 0 0
张三990 36 81 55 0 0
张三510 90 92 11 0 0
张三839 52 2 74 0 0
张三492 10 32 98 0 0
张三989 23 73 17 0 0
张三574 68 46 32 0 0
张三94 12 43 4 0 0
张三892 71 59 81 0 0
张三980 58 58 100 0 0
张三464 29 32 9 0 0
张三189 81 12 97 0 0
张三817 18 79 36 0 0
张三134 41 60 29 0 0
张三160 97 58 58 0 0
张三801 14 35 64 0 0
张三140 57 10 38 0 0
张三133 62 48 76 0 0
张三467 98 13 49 0 0
张三523 4 50 13 0 0
张三941 30 70 91 0 0
张三71 34 5 92 0 0
张三662 81 63 46 0 0
张三515 11 0 72 0 0
张三468 34 44 43 0 0
张三991 40 69 24 0 0
张三881 37 20 14 0 0
张三45 23 31 85 0 0
张三91 63 78 2 0 0
张三543 24 77 32 0 0
张三773 92 51 42 0 0
张三399 1 16 67 0 0
张三763 63 12 93 0 0
张三277 92 1 64 0 0
张三892 13 64 46 0 0
张三676 46 91 22 0 0
张三488 4 34 3 0 0
张三63 60 91 43 0 0
张三363 87 28 95 0 0
张三957 44 23 5 0 0
张三289 69 76 0 0 0
张三137 19 80 19 0 0
张三280 100 74 98 0 0
张三360 49 79 74 0 0
张三182 55 28 21 0 0
张三282 34 24 22 0 0
张三379 1 25 29 0 0
张三463 30 34 59 0 0
张三651 91 6 20 0 0
张三632 63 1 80 0 0
张三447 76 13 14 0 0
张三619 61 80 39 0 0
张三135 84 26 20 0 0
张三609 21 32 44 0 0
张三996 73 23 42 0 0
张三638 79 69 37 0 0
张三7 55 29 97 0 0
张三484 52 68 77 0 0
张三688 68 21 47 0 0
张三358 75 59 2 0 0
张三565 24 24 71 0 0
张三75 48 2 47 0 0
张三13 78 11 19 0 0
张三587 63 4 37 0 0
张三528 78 79 44 0 0
张三65 81 47 88 0 0
张三719 99 79 80 0 0
张三925 78 29 93 0 0
张三528 82 18 31 0 0
张三456 80 31 56 0 0
张三502 6 60 84 0 0
张三974 51 62 17 0 0
张三115 87 85 45 0 0
张三646 15 63 68 0 0
张三447 72 100 92 0 0
张三411 14 48 72 0 0
张三757 71 0 68 0 0
张三639 38 22 21 0 0
张三715 51 31 66 0 0
张三455 84 16 96 0 0
张三353 76 85 82 0 0
张三883 19 7 4 0 0
张三999 78 48 37 0 0
张三207 69 35 44 0 0
张三745 82 86 90 0 0
张三237 43 15 88 0 0
张三223 32 2 96 0 0
张三362 67 19 73 0 0
张三731 77 57 85 0 0
张三566 7 80 97 0 0
张三995 22 83 54 0 0
张三813 77 20 95 0 0
张三89 63 55 16 0 0
张三464 75 35 83 0 0
张三322 34 26 29 0 0
张三626 99 68 83 0 0
张三99 60 81 7 0 0
张三610 25 49 58 0 0
张三69 90 16 100 0 0
张三892 57 7 48 0 0
张三72 38 34 64 0 0
张三247 68 68 40 0 0
张三681 81 2 88 0 0
张三964 9 77 61 0 0
张三381 59 24 33 0 0
张三297 51 42 52 0 0
张三650 14 12 5 0 0
张三572 73 77 53 0 0
张三498 41 85 63 0 0
张三598 27 61 38 0 0
张三242 24 88 32 0 0
张三309 40 91 51 0 0
张三536 24 49 99 0 0
张三773 24 61 39 0 0
张三978 98 3 60 0 0
张三7 16 97 100 0 0
张三786 79 29 92 0 0
张三230 66 52 68 0 0
张三366 69 21 58 0 0
张三486 36 17 19 0 0
张三773 94 53 43 0 0
张三786 99 14 62 0 0
张三386 30 25 18 0 0
张三180 16 74 47 0 0
张三300 19 3 49 0 0
张三425 72 15 25 0 0
张三237 8 82 13 0 0
张三148 71 80 11 0 0
张三10 94 25 92 0 0
张三682 19 89 49 0 0
张三823 55 91 34 0 0
张三959 75 22 93 0 0
张三939 7 22 33 0 0
张三155 100 42 28 0 0
张三509 2 62 46 0 0
张三956 89 2 19 0 0
张三586 67 31 49 0 0
张三649 31 28 45 0 0
张三622 44 77 18 0 0
张三403 25 54 51 0 0
张三974 95 82 65 0 0
张三446 88 38 59 0 0
张三206 65 79 76 0 0
张三6 84 17 86 0 0
张三225 19 28 34 0 0
张三208 99 57 62 0 0
张三534 6 45 21 0 0
张三317 19 2 70 0 0
张三134 9 80 21 0 0
张三1 95 51 33 0 0
张三871 84 96 85 0 0
张三513 91 97 22 0 0
张三247 97 93 24 0 0
张三958 66 11 64 0 0
张三995 22 77 40 0 0
张三58 32 67 64 0 0
张三944 41 65 1 0 0
张三64 68 22 89 0 0
张三966 66 82 44 0 0
张三740 9 8 62 0 0
张三28 86 89 38 0 0
张三569 32 2 70 0 0
张三654 94 47 53 0 0
张三591 0 81 77 0 0
张三311 53 9 17 0 0
张三539 34 60 5 0 0
张三520 7 88 54 0 0
张三180 53 99 30 0 0
张三714 35 46 34 0 0
张三23 57 12 82 0 0
张三146 31 10 77 0 0
张三794 79 5 66 0 0
张三361 20 6 5 0 0
张三360 16 41 47 0 0
张三30 83 54 17 0 0
张三986 16 0 44 0 0
张三183 13 76 35 0 0
张三108 85 99 41 0 0
张三118 55 20 48 0 0
张三15 28 53 15 0 0
张三525 94 93 67 0 0
张三108 70 41 29 0 0
张三610 69 32 35 0 0
张三652 77 66 37 0 0
张三255 73 2 87 0 0
张三166 0 36 8 0 0
张三501 33 71 36 0 0
张三875 23 29 70 0 0
张三879 84 97 30 0 0
张三878 55 78 9 0 0
张三391 86 48 22 0 0
张三941 14 20 7 0 0
张三158 62 25 26 0 0
张三77 7 82 70 0 0
张三37 32 61 68 0 0
张三328 86 100 97 0 0
张三729 76 9 45 0 0
张三401 19 93 6 0 0
张三169 66 73 61 0 0
张三71 57 46 88 0 0
张三234 39 5 90 0 0
张三510 33 63 61 0 0
张三51 99 87 93 0 0
张三962 44 92 72 0 0
张三445 69 86 90 0 0
张三407 23 51 41 0 0
张三304 50 33 63 0 0
张三141 57 94 50 0 0
张三905 32 71 36 0 0
张三413 51 88 31 0 0
张三477 69 60 62 0 0
张三557 22 7 93 0 0
张三555 36 65 17 0 0
张三247 72 64 6 0 0
张三874 3 36 72 0 0
张三813 85 4 24 0 0
张三884 7 57 0 0 0
张三756 41 85 12 0 0
张三133 100 48 40 0 0
张三890 42 73 9 0 0
张三73 12 18 13 0 0
张三759 85 44 54 0 0
张三67 61 24 78 0 0
张三245 50 79 50 0 0
张三639 71 66 69 0 0
张三526 63 69 34 0 0
张三243 21 39 31 0 0
张三793 63 4 91 0 0
张三94 8 23 89 0 0
张三387 89 80 19 0 0
张三836 94 55 68 0 0
张三267 50 49 45 0 0
张三99 97 48 80 0 0
张三966 60 26 46 0 0
张三214 21 37 45 0 0
张三454 40 5 8 0 0
张三626 46 58 96 0 0
张三550 29 35 57 0 0
张三797 8 6 93 0 0
张三815 45 94 11 0 0
张三623 73 17 55 0 0
张三75 91 31 76 0 0
张三658 53 74 74 0 0
张三978 9 84 49 0 0
张三680 23 29 59 0 0
张三259 12 77 11 0 0
张三379 60 2 63 0 0
张三613 47 64 53 0 0
张三206 78 84 46 0 0
张三344 78 80 8 0 0
张三668 61 54 1 0 0
张三188 95 100 45 0 0
张三602 1 15 51 0 0
张三985 74 23 10 0 0
张三220 0 69 71 0 0
张三100 51 43 25 0 0
张三945 83 13 13 0 0
张三754 90 58 91 0 0
张三342 43 22 39 0 0
张三685 44 32 44 0 0
张三668 16 41 73 0 0
张三780 64 23 79 0 0
张三822 43 14 34 0 0
张三611 75 31 11 0 0
张三750 74 13 27 0 0
张三16 39 27 62 0 0
张三560 29 49 81 0 0
张三147 90 76 89 0 0
张三911 16 76 71 0 0
张三639 68 56 83 0 0
张三446 59 30 68 0 0
张三811 34 48 16 0 0
张三304 2 46 96 0 0
张三67 19 40 7 0 0
张三2 88 54 86 0 0
张三894 31 59 29 0 0
张三217 26 56 76 0 0
张三124 46 54 97 0 0
张三263 99 22 80 0 0
张三373 41 67 97 0 0
张三277 62 58 13 0 0
张三812 49 74 40 0 0
张三428 58 43 88 0 0
张三687 46 91 61 0 0
张三657 33 31 69 0 0
张三231 98 59 97 0 0
张三752 28 64 88 0 0
张三908 21 72 1 0 0
张三787 88 47 44 0 0
张三116 54 0 1 0 0
张三201 4 79 27 0 0
张三783 23 26 85 0 0
张三73 1 40 67 0 0
张三507 51 93 76 0 0
张三354 6 77 69 0 0
张三150 66 40 52 0 0
张三112 81 39 14 0 0
张三49 72 70 98 0 0
张三62 0 66 11 0 0
张三246 21 65 91 0 0
张三919 5 3 40 0 0
张三417 85 64 87 0 0
张三364 73 31 29 0 0
张三381 0 50 38 0 0
张三652 59 9 45 0 0
张三377 79 27 47 0 0
张三151 33 73 93 0 0
张三499 59 71 73 0 0
张三345 100 54 49 0 0
张三965 60 86 12 0 0
张三87 70 79 98 0 0
张三115 85 9 39 0 0
张三141 31 6 4 0 0
张三308 42 46 66 0 0
张三286 34 74 80 0 0
张三130 15 14 61 0 0
张三534 100 76 11 0 0
张三561 95 35 53 0 0
张三236 84 5 46 0 0
张三27 30 17 79 0 0
张三109 98 21 81 0 0
张三483 98 98 70 0 0
张三485 40 10 73 0 0
张三947 73 41 87 0 0
张三291 97 84 88 0 0
张三138 46 23 47 0 0
张三577 18 9 37 0 0
张三137 51 44 93 0 0
张三594 77 65 85 0 0
张三221 58 35 4 0 0
张三740 68 87 14 0 0
张三286 70 72 67 0 0
张三878 97 18 98 0 0
张三521 35 0 11 0 0
张三834 83 4 95 0 0
张三235 35 38 28 0 0
张三104 53 88 80 0 0
张三8 34 9 2 0 0
张三44 24 87 80 0 0
张三565 93 16 11 0 0
张三100 83 68 58 0 0
张三47 80 77 10 0 0
张三836 14 52 95 0 0
张三568 40 59 71 0 0
张三826 53 5 29 0 0
张三246 94 4 57 0 0
张三662 38 11 79 0 0
张三91 77 22 66 0 0
张三644 100 18 50 0 0
张三430 65 77 48 0 0
张三916 21 12 92 0 0
张三766 16 32 90 0 0
张三93 45 65 76 0 0
张三243 35 5 35 0 0
张三656 14 50 95 0 0
张三113 47 41 69 0 0
张三666 70 25 2 0 0
张三881 30 16 84 0 0
张三562 51 25 59 0 0
张三25 52 35 12 0 0
张三94 65 29 43 0 0
张三455 96 83 0 0 0
张三664 17 70 36 0 0
张三130 75 27 35 0 0
张三627 31 8 12 0 0
张三476 90 100 74 0 0
张三314 87 13 63 0 0
张三535 49 1 23 0 0
张三833 66 86 58 0 0
张三981 75 6 71 0 0
张三918 77 30 25 0 0
张三445 65 51 75 0 0
张三380 96 82 81 0 0
张三775 68 47 44 0 0
张三916 62 11 56 0 0
张三165 14 55 87 0 0
张三344 94 81 9 0 0
张三308 90 87 100 0 0
张三522 16 28 0 0 0
张三975 60 52 20 0 0
张三505 41 94 75 0 0
张三686 71 49 76 0 0
张三713 7 19 100 0 0
张三390 88 63 98 0 0
张三154 85 85 21 0 0
张三299 56 33 78 0 0
张三976 15 63 55 0 0
张三299 81 0 93 0 0
张三901 22 3 24 0 0
张三589 71 36 25 0 0
张三304 18 82 5 0 0
张三474 84 24 50 0 0
张三990 96 72 52 0 0
张三441 84 50 63 0 0
张三950 87 26 89 0 0
张三970 83 98 88 0 0
张三617 8 79 25 0 0
张三702 26 83 69 0 0
张三435 50 93 10 0 0
张三897 69 73 41 0 0
张三747 49 32 24 0 0
张三335 14 41 39 0 0
张三308 80 21 98 0 0
张三70 38 91 85 0 0
张三944 45 17 90 0 0
张三696 23 35 67 0 0
张三157 35 25 69 0 0
张三41 54 7 93 0 0
张三695 11 9 77 0 0
张三442 68 55 92 0 0
张三383 21 2 77 0 0
张三12 52 24 84 0 0
张三748 43 98 2 0 0
张三568 35 59 55 0 0
张三218 27 82 75 0 0
张三118 17 56 99 0 0
张三943 92 58 40 0 0
张三73 22 43 13 0 0
张三503 63 43 54 0 0
张三599 91 0 66 0 0
张三59 91 46 13 0 0
张三756 22 16 65 0 0
张三717 73 78 4 0 0
张三347 53 48 100 0 0
张三151 65 29 36 0 0
张三635 20 54 35 0 0
张三762 65 25 49 0 0
张三329 43 84 82 0 0
张三907 90 41 50 0 0
张三508 39 67 67 0 0
张三0 100 43 94 0 0
张三393 43 33 82 0 0
张三492 27 83 8 0 0
张三123 92 40 80 0 0
张三46 4 58 58 0 0
张三950 5 10 58 0 0
张三411 21 32 60 0 0
张三500 81 94 32 0 0
张三812 42 51 23 0 0
张三38 51 2 99 0 0
张三863 66 18 73 0 0
张三862 10 2 44 0 0
张三308 7 18 56 0 0
张三265 94 44 38 0 0
张三112 30 88 70 0 0
张三707 46 53 30 0 0
张三696 80 73 48 0 0
张三122 49 51 21 0 0
张三348 63 41 93 0 0
张三502 74 50 99 0 0
张三94 100 17 36 0 0
张三190 71 35 41 0 0
张三564 41 69 80 0 0
张三515 27 54 44 0 0
张三641 6 58 37 0 0
张三713 60 63 14 0 0
张三928 15 44 81 0 0
张三261 2 88 22 0 0
张三312 95 93 63 0 0
张三57 12 21 46 0 0
张三167 91 26 73 0 0
张三95 32 54 12 0 0
张三984 30 35 47 0 0
张三546 34 10 26 0 0
张三447 95 16 26 0 0
张三416 69 33 57 0 0
张三262 96 21 57 0 0
张三174 92 45 7 0 0
张三259 96 23 60 0 0
张三18 14 89 98 0 0
张三555 85 43 16 0 0
张三700 40 93 22 0 0
张三818 8 84 50 0 0
张三50 54 52 82 0 0
张三908 29 68 4 0 0
张三623 82 2 86 0 0
张三448 38 87 37 0 0
张三125 48 19 75 0 0
张三83 77 87 84 0 0
张三529 94 90 27 0 0
张三490 15 63 74 0 0
张三41 22 22 27 0 0
张三402 99 45 87 0 0
张三324 99 4 14 0 0
张三200 77 73 79 0 0
张三643 15 13 57 0 0
张三838 54 10 38 0 0
张三842 100 47 2 0 0
张三158 36 53 29 0 0
张三308 26 24 95 0 0
张三860 71 9 40 0 0
张三335 55 80 80 0 0
张三678 89 72 54 0 0
张三556 20 42 28 0 0
张三536 0 8 86 0 0
张三337 25 80 40 0 0
张三725 15 39 78 0 0
张三302 33 52 19 0 0
张三385 77 72 39 0 0
张三411 49 89 38 0 0
张三829 26 25 59 0 0
张三221 32 5 17 0 0
张三486 53 49 45 0 0
张三275 99 6 90 0 0
张三513 90 32 70 0 0
张三753 81 50 45 0 0
张三341 46 48 3 0 0
张三807 68 73 47 0 0
张三716 9 78 87 0 0
张三236 52 86 86 0 0
张三990 48 33 71 0 0
张三420 30 6 9 0 0
张三726 89 29 15 0 0
张三659 54 83 31 0 0
张三881 61 15 32 0 0
张三335 30 21 27 0 0
张三112 35 49 16 0 0
张三559 100 24 47 0 0
张三992 87 67 96 0 0
张三211 56 1 31 0 0
张三163 62 97 87 0 0
张三531 88 15 85 0 0
张三715 42 13 60 0 0
张三671 37 63 51 0 0
张三331 19 30 23 0 0
张三877 31 15 12 0 0
张三978 32 72 1 0 0
张三197 16 62 69 0 0
